SAMPLE,SPECIES,TIME(h),WEIGHT(g)
K1,E. pacifica/ T. Spinifera,0,1.2218
K2,E. pacifica/ T. Spinifera,0,1.7572
K3,E. pacifica/ T. Spinifera,0,2.0078
K4,E. pacifica/ T. Spinifera,0,2.0492
K5,E. pacifica/ T. Spinifera,0,2.3538
K6,E. pacifica/ T. Spinifera,0,1.7229
K7,E. pacifica/ T. Spinifera,0,1.656
K8,E. pacifica/ T. Spinifera,0,1.8804
K9,E. pacifica/ T. Spinifera,0,1.2209
K10,E. pacifica/ T. Spinifera,0,1.9783
K1,E. pacifica/ T. Spinifera,24,0.2276
K2,E. pacifica/ T. Spinifera,24,0.3383
K3,E. pacifica/ T. Spinifera,24,0.3726
K4,E. pacifica/ T. Spinifera,24,0.4068
K5,E. pacifica/ T. Spinifera,24,0.4406
K6,E. pacifica/ T. Spinifera,24,0.332
K7,E. pacifica/ T. Spinifera,24,0.3431
K8,E. pacifica/ T. Spinifera,24,0.3541
K9,E. pacifica/ T. Spinifera,24,0.2258
K10,E. pacifica/ T. Spinifera,24,0.3935
K1,E. pacifica/ T. Spinifera,48,0.2291
K2,E. pacifica/ T. Spinifera,48,0.339
K3,E. pacifica/ T. Spinifera,48,0.3732
K4,E. pacifica/ T. Spinifera,48,0.4073
K5,E. pacifica/ T. Spinifera,48,0.4419
K6,E. pacifica/ T. Spinifera,48,0.3319
K7,E. pacifica/ T. Spinifera,48,0.3721
K8,E. pacifica/ T. Spinifera,48,0.3536
K9,E. pacifica/ T. Spinifera,48,0.2259
K10,E. pacifica/ T. Spinifera,48,0.3613
K1,E. pacifica/ T. Spinifera,72,0.2282
K2,E. pacifica/ T. Spinifera,72,0.338
K3,E. pacifica/ T. Spinifera,72,0.3718
K4,E. pacifica/ T. Spinifera,72,0.4061
K5,E. pacifica/ T. Spinifera,72,0.4412
K6,E. pacifica/ T. Spinifera,72,0.3313
K7,E. pacifica/ T. Spinifera,72,0.3728
K8,E. pacifica/ T. Spinifera,72,0.3534
K9,E. pacifica/ T. Spinifera,72,0.2258
K10,E. pacifica/ T. Spinifera,72,0.3639
A1,E. mordax,0,10.0012
A2,E. mordax,0,10.8006
A3,E. mordax,0,9.734
A4,E. mordax,0,7.3393
A5,E. mordax,0,9.1393
A6,E. mordax,0,10.8396
A7,E. mordax,0,10.106
A8,E. mordax,0,10.1307
A9,E. mordax,0,12.0012
A10,E. mordax,0,10.7601
A1,E. mordax,24,4.4796
A2,E. mordax,24,5.2538
A3,E. mordax,24,4.592
A4,E. mordax,24,4.6185
A5,E. mordax,24,3.9034
A6,E. mordax,24,4.643
A7,E. mordax,24,3.8858
A8,E. mordax,24,4.8666
A9,E. mordax,24,6.9401
A10,E. mordax,24,5.3074
A1,E. mordax,48,3.116
A2,E. mordax,48,3.5661
A3,E. mordax,48,3.2285
A4,E. mordax,48,3.4733
A5,E. mordax,48,2.5595
A6,E. mordax,48,3.3612
